Species,v_cop_dur_mean,v_cop_dur_se,RI50,RI50_2,RI50_3,Monandry,remating_cop_dur_mean,remating_cop_dur_se,sperm_per_cop_mean,sperm_per_cop_se,ejection_time_mean,ejection_time_se,sp.l_mean,sp.l_se,SR.l_mean,SR.l_se,th.l.M_mean,th.l.M_se,th.w.M_mean,th.w.M_se,th.h.M_mean,th.h.M_se,th.l.F_mean,th.l.F_se,th.w.F_mean,th.w.F_se,th.h.F_mean,th.h.F_se,Ovariole_mean,Ovariole_se,egg_l_mean,egg_l_se,egg_w_mean,egg_w_se,egg_vol_mean,egg_vol_se,egg_vol_mean2,Sperm_storage_organ,testis.l_mean,testis.l_se,AG.area_mean,AG.area_se,Plug,insemination_rxn,male_dry_mass_mean,male_dry_mass_se,male_dry_testis_mean,male_dry_testis_se,mean_gsi,female_dry_mass_mean,female_dry_mass_se,male_wing_area_mean,male_wing_area_se,female_wing_area_mean,female_wing_area_se,number_appendage,app_l_mean,app_l_se,spth_duct_length_mean,spth_duct_length_se,capsule_length_mean,capsule_length_se,capsule_width_mean,capsule_width_se,introvert_mean,introvert_se,comment
D_bifasciata,6.853658537,0.415494087,28,28,28,0,5.818181818,0.40041301,,,,,0.23,0.02,0.5262,0.036661151,1.115,0.010752907,0.845,0.016583124,1.0625,0.011858541,1.2175,0.012869538,0.88,0.003061862,1.175,0.014790199,20.4,0.430116263,0.46995,0.004735351,0.1768,0.002145497,0.007723301,0.000219644,0.007691566,0,0.572333333,0.018835546,0.124,0.007,1,0,0.34706,0.011442928,0.00388,0.00050636,0.011179623,0.6284,0.009901313,2.0276,0.056321932,2.5234,0.061868085,2,0.3296,0.006823103,0.139,0.00591608,0.0618,0.004726521,0.062,0.001549193,0.0302,0.002497999,
D_bifurca,2.775,0.180765821,0.5,0.5,0.5,0,2.461538462,0.215293021,51.6,5.644466317,,,58.29,0.66,81.6464,2.394999971,1.544,0.017204651,0.98,0.014142136,1.436,0.021354157,1.533333333,0.025888105,1,0.014197257,1.447619048,0.022671201,23.3,0.339116499,0.538266667,0.002986424,0.176866667,0.001978134,0.008837665,0.000218671,0.008816335,1,64.56833333,0.936979959,0.251,0.012288206,0,0,0.81942,0.049183904,0.08566,0.004489499,0.104537356,1.08532,0.055556326,3.5764,0.072001806,3.7496,0.197095053,4,0.70924,0.015381621,0.275,0.011870131,0.0848,0.005342284,0.0582,0.0028,,,non-melanized
D_bipectinata,10.18518519,0.486387454,14,14,14,0,9.058823529,0.5653642,,,,,1.75,,4.304583333,0.056739364,0.775,0.008838835,0.635,0.013346348,0.7775,0.010752907,0.8525,0.015512092,0.725,0.016298006,0.9075,0.017047727,14.375,0.60319092,0.424714585,0.004625103,0.162674948,0.001966768,0.005900482,0.0001641,0.005884874,0,2.143666667,0.029491995,0.134666667,0.008089774,1,0,0.15008,0.018156305,0.004,0.001,0.026652452,0.23444,0.002937278,0.9602,0.075349453,1.0722,0.052176048,2,0.325879135,0.00710168,0.183,0.00805364,0.081444444,0.000987577,0.054444444,0.001259532,0.073222222,0.000812708,
D_birchii,3.648648649,0.156040613,1,1,1,0,2.777777778,0.318857802,563.6,70.9722481,,,4.204383333,0.304587308,4.9828,0.047416664,0.8975,0.012747549,0.71,0.024811792,1.0375,0.037080992,0.9425,0.012869538,0.7125,0.013110111,0.8325,0.011592023,9.75,0.322748612,0.484275541,0.004470793,0.164789707,0.002419741,0.006914953,0.000218266,0.006885751,1,4.518333333,0.065100777,0.181,0.013868429,1,0,0.21112,0.004045046,0.00462,0.000847585,0.021883289,0.1999,0.010009945,1.135,0.006700746,1.1296,0.03153506,2,0.472092153,0.011269847,0.13625,0.003497023,0.05575,0.002393568,0.0575,0.004974937,,,non-melanized
D_bocqueti,8.884615385,0.913702397,4,4,4,0,8.538461538,0.550237532,762,94.69952481,207.06,22.35825575,2.8628,0.100151352,3.5598,0.020431348,0.9125,0.04472136,0.7225,0.035222507,0.855,0.038850676,0.915,0.00728869,0.705,0.012869538,0.8875,0.016298006,15.375,0.554338946,0.4653,0.00283131,0.16415,0.003086707,0.006611939,0.000255723,0.006564678,1,3.812333333,0.089763269,0.216666667,0.016230972,1,0,0.22458,0.011753782,0.00832,0.001165075,0.037046932,0.24308,0.012159704,1.2226,0.029633765,1.6204,0.010151847,2,0.3998,0.009397163,0.14125,0.008730932,0.06075,0.003375772,0.06,0.003696846,,,non-melanized
D_borealis,2.85,0.141194538,1,1,1,0,2.333333333,0.166666667,433.4,18.66440462,159,22.54994457,7.54,0.05,13.0482,0.169991882,1.2275,0.009185587,0.8075,0.006373774,1.1725,0.020310096,1.175,0.015309311,0.81,0.010752907,1.16,0.015512092,11.5,0.353553391,0.5565,0.00590428,0.17755,0.001416956,0.009213804,0.000219286,0.00918555,0,8.052333333,0.317381124,0.190666667,0.019427929,0,0,0.48658,0.024551118,0.04404,0.004289592,0.090509269,0.60646,0.028672576,2.4308,0.024816124,2.386,0.03698378,4,0.406191489,0.007230424,0.1366,0.004781213,0.135,0.003209361,0.103,0.00181659,0.1134,0.002712932,
D_bunnanda,4.95,0.138443731,1,1,1,0,5.133333333,0.191899445,741.4,18.62686232,168.78,7.021709194,1.049205556,0.042757646,1.946,0.07109993,0.86,0.024494897,0.69,0.004677072,0.7925,0.024238399,0.995,0.006373774,0.7425,0.006373774,0.9325,0.006373774,10.875,0.239356777,0.49785,0.004506881,0.17235,0.00227026,0.007788437,0.000261509,0.007743186,1,1.783,0.026,0.224666667,0.008685876,1,0,0.19352,0.005618932,0.00494,0.000693974,0.025527077,0.29176,0.012227289,1.06,0.012177849,1.2952,0.013789126,2,0.440857143,0.0182163,0.1298,0.02825845,,,,,,,non-melanized
D_burlai,11.26666667,0.493799943,4,4,4,0,12.53846154,0.95819933,654.8,48.87166868,,,2.58128,0.028615912,3.0536,0.027603623,0.715,0.017410485,0.66,0.04831537,0.7225,0.015512092,0.835,0.014469796,0.62,0.011592023,0.755,0.022569338,13.5,0.204124145,0.50585,0.005688065,0.15665,0.003259218,0.006589222,0.000358769,0.006499518,1,3.073666667,0.034478657,0.213,0.012503333,1,0,0.1251,0.007954684,0.00284,0.000254165,0.022701839,0.14982,0.004094435,0.9788,0.018990524,1.2566,0.041602404,2,0.523863636,0.011383381,0.11925,0.002286737,0.074,0.004242641,0.057,0.004358899,,,non-melanized
D_busckii,19.48717949,0.595611249,3,3,3,0,25.61538462,1.412119981,924.2,43.69599524,229.5,15.97654531,1.18,0.01,1.3774,0.109141468,0.9375,0.00559017,0.705,0.006373774,0.7875,0.021650635,1.02,0.010155048,0.8075,0.019605484,0.91,0.026339134,16.2,0.463680925,0.5326,0.007402133,0.18125,0.003766804,0.009306332,0.000511756,0.009161273,0,1.606333333,0.099803696,0.141,0.00781025,1,0,0.18796,0.008275361,0.0143,0.007985049,0.076080017,0.29624,0.017925306,1.203,0.025633962,1.485,0.020398529,2,0.320342105,0.006586364,0.0528,0.007248448,0.0562,0.002817801,0.0674,0.001208305,0.0324,0.004273172,
D_buzzatii,1.85,0.191317966,0.5,0.5,0.5,0,2,0.226455407,527.8,43.34904843,,,1.67916,0.023198224,5.6014,0.105243812,0.99,0.019121323,0.6775,0.0121192,0.915,0.021433035,1.07,0.010155048,0.7475,0.010752907,0.97,0.011592023,18.9,0.640312424,0.4375,0.002869531,0.1524,0.002987166,0.005363736,0.000207036,0.005320429,1,2.334333333,0.065983163,0.531333333,0.125081751,0,1,0.50876,0.032563486,0.03306,0.002391778,0.064981524,0.69906,0.015565558,1.8464,0.075433149,2.2338,0.053110639,4,0.422141026,0.006115813,0.1618,0.015711143,0.0338,0.002059126,0.0428,0.002956349,0.0148,0.001496663,
